Chapter	Verses	Words	Letters
1	7	29	139
2	286	6120	25884
3	200	3485	14757
4	176	3751	16082
5	120	2808	12034
6	165	3054	12573
7	206	3324	14232
8	75	1237	5361
9	129	2498	10940
10	109	1837	7525
11	123	1921	7733
12	111	1781	7210
13	43	857	3514
14	52	834	3513
15	99	659	2845
16	128	1848	7728
17	111	1560	6574
18	110	1583	6499
19	98	965	3880
20	135	1339	5348
21	112	1173	4988
22	78	1278	5251
23	118	1054	4409
24	64	1320	5674
25	77	897	3837
26	227	1322	5583
27	93	1155	4761
28	88	1434	5873
29	69	980	4268
30	60	821	3447
31	34	550	2151
32	30	376	1557
33	73	1291	5683
34	54	887	3565
35	45	779	3202
36	83	729	3034
37	182	865	3844
38	88	737	3030
39	75	1176	4800
40	85	1223	5052
41	54	798	3349
42	53	864	3488
43	89	834	3565
44	59	350	1472
45	37	492	2062
46	35	647	2640
47	38	543	2404
48	29	564	2493
49	18	351	1526
50	45	377	1507
51	60	364	1541
52	49	316	1320
53	62	364	1438
54	55	346	1479
55	78	355	1671
56	96	383	1733
57	29	578	2522
58	22	476	2027
59	24	449	1950
60	13	352	1557
61	14	225	962
62	11	179	773
63	11	184	806
64	18	245	1088
65	12	291	1199
66	12	253	1091
67	30	337	1347
68	52	304	1282
69	52	262	1130
70	44	221	968
71	28	230	971
72	28	289	1114
73	20	203	868
74	56	259	1043
75	40	168	686
76	31	247	1094
77	50	185	839
78	40	177	794
79	46	183	790
80	42	137	565
81	29	108	450
82	19	84	347
83	36	173	763
84	25	111	459
85	22	113	482
86	17	65	271
87	19	76	315
88	26	96	399
89	30	141	594
90	20	86	355
91	15	58	269
92	21	75	333
93	11	44	184
94	8	31	121
95	8	38	176
96	19	76	304
97	5	34	131
98	8	98	416
99	8	40	175
100	11	44	183
101	11	40	177
102	8	32	141
103	3	18	90
104	9	37	152
105	5	27	115
106	4	21	94
107	7	29	133
108	3	14	61
109	6	30	114
110	3	23	99
111	5	27	100
112	4	19	66
113	5	27	90
114	6	24	99
